,Year,Country Code,Rank,Gold,Silver,Bronze,Upper Gold,Upper Silver,Upper Bronze,Lower Gold,Lower Silver,Lower Bronze,Total
18,2028,BEL,18.0,3.918309508158579,4.4799964883808885,4.926232964943218,16.36755388058516,23.804659443318727,18.735947853055627,-17.6128162433437,-20.630680560349866,-17.114133822069963,13.324538961482684
158,2028,RSA,19.0,4.090237720332015,4.356441422194963,4.666321094222852,15.876180732971722,23.020219298013764,17.80815439695924,-11.23696212795897,-12.435007269547718,-10.796842620104698,13.11300023674983
87,2028,IRL,20.0,4.423418260648118,4.111683466220523,4.56688208198235,12.867870828156835,17.73550058273344,13.851144173296952,-13.606233306845558,-16.884069899900975,-14.07965210862064,13.101983808850992
175,2028,SUI,21.0,3.2721806320892224,4.065968901206099,5.091429632415694,16.303891321972465,23.871209986052847,18.10639930754547,-17.415260136395094,-20.22254044171683,-17.468090593232574,12.429579165711015
98,2028,KEN,22.0,4.273627345984382,3.8593639379619717,3.8563965429505775,3.8343931105570435,7.923099483016007,6.280168858771252,-11.059825348627001,-11.553723721352263,-9.433578410652961,11.98938782689693
51,2028,DEN,23.0,3.5112068031862287,3.862825320767208,4.434222527618358,10.81454526031204,16.805261522161878,12.914288647614033,-13.71008287932284,-15.265024524569816,-12.959765067853215,11.808254651571794
170,2028,SRB,24.0,4.0511135431351475,3.73962541593677,3.6838245351297187,8.204987355876076,12.231624298914344,9.5184258537834,-10.98418207963768,-12.86160644416713,-10.726594698731168,11.474563494201636
139,2028,NOR,25.0,4.049627999943959,3.481870857227393,3.7633439193131344,7.747394487938234,11.733619050594298,8.898014543089175,-13.598359087607442,-16.179726634123888,-13.62225249077495,11.294842776484487
195,2028,UKR,26.0,2.7603274927707044,3.3772532829300936,4.895681611848897,20.71005748132778,29.227805512872948,21.630382300458756,-15.21370147244933,-17.74885888186893,-16.27001983976161,11.033262387549694
56,2028,EGY,27.0,3.1785398343248694,3.57151322619122,4.25588492471783,17.41991075816451,23.739740542734577,18.203099985490375,-13.014277526109169,-16.0583399141656,-13.90567727997664,11.00593798523392
178,2028,SWE,28.0,3.7218562215659903,3.3534707213829904,3.80989516663499,15.69932994761938,23.24094766372932,17.679753341847015,-13.761075381977351,-15.283739462755781,-13.401660233004103,10.885222109583971
